Name,Year,Duration,Genre,Rating,Votes,Director,Actor 1,Actor 2,Actor 3
Bhai Thakur,2000,118,"Action, Drama",3.2,9,William Hunt,Raja,Willy,Dharmendra
Bichhoo,2000,160,"Action, Crime, Drama",5,2807,Guddu Dhanoa,Bobby Deol,Rani Mukerji,Ashish Vidyarthi
Billa No. 786,2000,140,Action,4.4,34,Imran Khalid,Mithun Chakraborty,Gajendra Chauhan,Siddharth Dhawan
Bulandi,2000,175,"Action, Drama",5.4,633,Rama Rao Tatineni,Anil Kapoor,Rekha,Raveena Tandon
Call,2000,176,"Action, Drama, Romance",6.8,2236,Rajkumar Santoshi,Anil Kapoor,Madhuri Dixit,Namrata Shirodkar
Chal Mere Bhai,2000,136,"Comedy, Romance",4.7,3128,David Dhawan,Sanjay Dutt,Salman Khan,Karisma Kapoor
Champion,2000,140,"Action, Comedy, Drama",4.3,519,Padam Kumar,Jana Sue Memel,Sunny Deol,Prasant Samadhar
Choo Lenge Akash,2000,85,Family,7.4,7,Virendra Saini,Puru Chibber,Pankaj Jha,Parikshit Sahni
Cover Story,2000,140,Thriller,5.3,105,G.S. Vijayan,Suresh Gopi,Joemon Joshy,Biju Menon
Daku Ganga Jamuna,2000,93,"Action, Adventure, Crime",3.9,7,Kanti Shah,Sapna Sappu,Amit Pachori,Durgesh Nandini
Daku Kali Bhawani,2000,120,Action,3.8,5,S.R. Pratap,Dharmendra,Milind Gunaji,Mohan Joshi
Daku Ramkali,2000,134,"Adventure, Drama, Musical",5,17,Kanti Shah,Sapna Sappu,Jay Thakur,Rajesh Vivek
Deewane,2000,164,"Action, Romance",4.7,587,Harry Baweja,Ajay Devgn,Urmila Matondkar,Mahima Chaudhry
Dhaai Akshar Prem Ke,2000,167,"Drama, Romance",3.7,1313,Raj Kanwar,Abhishek Bachchan,Aishwarya Rai Bachchan,Amrish Puri
Dhadkan,2000,161,"Drama, Romance",6.5,6953,Dharmesh Darshan,Akshay Kumar,Shilpa Shetty Kundra,Sunil Shetty
Dil Pe Mat Le Yaar!!,2000,148,Drama,5,213,Hansal Mehta,Manoj Bajpayee,Tabu,Saurabh Shukla
Dulhan Hum Le Jayenge,2000,158,"Comedy, Drama, Romance",5.1,3238,David Dhawan,Salman Khan,Karisma Kapoor,Om Puri
Ek Ajooba,2000,71,Family,5.7,16,Sunil Advani,Meghna Erande,Harsh Lunia,Amrish Puri
Ek Sthree,2000,115,Drama,5.7,15,Anil,Suman Ranganath,Kashish,Vivek Anand
Fiza,2000,170,"Action, Crime, Drama",6.1,3894,Khalid Mohamed,Jaya Bachchan,Karisma Kapoor,Hrithik Roshan
Gaja Gamini,2000,122,"Drama, Fantasy",5,726,M.F. Hussain,Madhuri Dixit,Shabana Azmi,Naseeruddin Shah
Gang,2000,152,"Action, Crime, Drama",6.1,225,Mazhar Khan,Jackie Shroff,Nana Patekar,Kumar Gaurav
Glamour Girl,2000,123,Crime,2.1,23,Rakesh Bedi,Kishore Anand Bhanushali,Dolly Bindra,Poonam Dasgupta
Hadh Kar Di Aapne,2000,134,"Comedy, Romance",5.3,1754,Manoj Agrawal,Govinda,Rani Mukerji,Johnny Lever
Hamara Dil Aapke Paas Hai,2000,165,"Action, Drama, Romance",5.6,1799,Satish Kaushik,Anil Kapoor,Aishwarya Rai Bachchan,Sonali Bendre
Har Dil Jo Pyar Karega...,2000,173,"Comedy, Drama, Musical",5.2,4199,Raj Kanwar,Salman Khan,Preity Zinta,Rani Mukerji
Hari-Bhari,2000,134,"Drama, Family",5.7,103,Shyam Benegal,Shabana Azmi,Rajit Kapoor,Rajeshwari Sachdev
Hera Pheri,2000,156,"Action, Comedy, Crime",8.2,59545,Priyadarshan,Akshay Kumar,Sunil Shetty,Paresh Rawal
Hey Ram,2000,186,"Crime, Drama, History",7.9,11870,Kamal Haasan,Kamal Haasan,Shah Rukh Khan,Rani Mukerji
House of Memories,2000,130,"Drama, Family",7.3,311,Aparna Sen,Soumitra Chatterjee,Aparna Sen,Rituparna Sengupta
Hum To Mohabbat Karega,2000,153,"Action, Comedy, Romance",2.7,384,Kundan Shah,Karisma Kapoor,Bobby Deol,Rohit Roy
Jis Desh Mein Ganga Rehta Hain,2000,141,"Comedy, Crime, Drama",4.9,1187,Mahesh Manjrekar,Govinda,Sonali Bendre,Rinke Khanna
Joru Ka Ghulam,2000,169,"Comedy, Drama, Romance",5.1,1038,Shakeel Noorani,Govinda,Twinkle Khanna,Kader Khan
Josh,2000,162,"Action, Drama, Musical",6.2,9667,Mansoor Khan,Dilip Mestry,Shah Rukh Khan,Aishwarya Rai Bachchan
Jung,2000,147,"Action, Crime, Drama",4.2,364,Sanjay Gupta,Sanjay Dutt,Jackie Shroff,Aditya Pancholi
Jungle,2000,146,"Action, Adventure, Romance",6.1,1102,Ram Gopal Varma,Sunil Shetty,Fardeen Khan,Urmila Matondkar
Jwalamukhi,2000,135,"Action, Drama",4.2,29,Jagdish A. Sharma,Vijay Sharma,Abdul Rehman Sheikh,Arjun
Kaali Ki Saugandh,2000,90,Action,5,7,Saabir,Anmol,Dharmendra,Johny Fever
Kabrastan,2000,109,Horror,3.1,16,Ramesh U. Lakhiani,Amit Kapoor,Satnam Kaur,Shehzad Khan
Kaho Naa... Pyaar Hai,2000,172,"Action, Musical, Romance",6.9,14186,Rakesh Roshan,Hrithik Roshan,Ameesha Patel,Anupam Kher
Kannan Varuvaan,2000,135,Romance,5.8,39,Sundar C.,Karthik,Mantra,Divyaa Unni
Karobaar: The Business of Love,2000,180,"Drama, Romance",4.4,237,Rakesh Roshan,Juhi Chawla,Anil Kapoor,Rishi Kapoor
Khauff,2000,124,"Action, Crime, Drama",4.4,361,Sanjay Gupta,Sanjay Dutt,Manisha Koirala,Sharad S. Kapoor
Khiladi 420,2000,157,"Action, Romance, Thriller",5.2,1769,Neeraj Vora,Akshay Kumar,Mahima Chaudhry,Antara Mali
Krodh,2000,141,"Action, Comedy, Drama",4.4,213,Ashok Honda,Sunil Shetty,Johnny Lever,Rambha
Kunwara,2000,134,"Comedy, Drama, Romance",5.1,887,David Dhawan,Govinda,Urmila Matondkar,Nagma
Kurukshetra,2000,129,"Action, Crime, Drama",6,996,Mahesh Manjrekar,Mukesh Rishi,Sanjay Dutt,Mahima Chaudhry
Kya Kehna,2000,155,"Drama, Romance",5.9,1975,Kundan Shah,Preity Zinta,Saif Ali Khan,Chandrachur Singh
Mela,2000,172,"Action, Adventure, Comedy",3.8,4247,Dharmesh Darshan,Aamir Khan,Twinkle Khanna,Faisal Khan
Mere Aagosh Mein,2000,142,Thriller,5.5,11,B. Prasad,Rana Jung Bahadur,Kirti,Kirti Shetty
Mission Kashmir,2000,154,"Action, Drama, Thriller",6.7,6531,Vidhu Vinod Chopra,Sanjay Dutt,Hrithik Roshan,Preity Zinta
Mohabbatein,2000,216,"Musical, Drama, Romance",7.1,27990,Aditya Chopra,Amitabh Bachchan,Shah Rukh Khan,Uday Chopra
Nagadevathe,2000,150,"Drama, Fantasy",5.6,23,Om Sai Prakash,Soundarya,Prema,Sai Kumar
Nidaan,2000,146,"Drama, Romance",6.1,15,Mahesh Manjrekar,Shivaji Satam,Reema Lagoo,Nisha Bains
Papa the Great,2000,143,Family,5.5,67,Bhagyaraj,Krishan Kumar,Nagma,Satya Prakash
Phir Bhi Dil Hai Hindustani,2000,160,"Comedy, Drama, Musical",6.2,7103,Aziz Mirza,Shah Rukh Khan,Juhi Chawla,Johnny Lever
Raja Ko Rani Se Pyar Ho Gaya,2000,148,"Comedy, Musical, Romance",3.4,78,Rajeev Kumar,Arvind Swamy,Manisha Koirala,Dilip Dhawan
Raju Chacha,2000,163,"Action, Comedy, Drama",5.1,1878,Anil Devgan,Kajol,Ajay Devgn,Rishi Kapoor
Refugee,2000,207,"Drama, Musical, Romance",5.4,1881,J.P. Dutta,Jackie Shroff,Sunil Shetty,Abhishek Bachchan
Satyameva Jayate,2000,141,"Crime, Thriller",5.2,90,Viji Thampi,Suresh Gopi,Aishwarya,Baburaj
Shikaar,2000,135,"Action, Mystery",3.6,28,Bobby Raj,Abhishek Kapoor,Vikas Bhalla,Ayesha Jhulka
Shikari,2000,160,"Crime, Drama, Thriller",4.6,431,N. Chandra,Govinda,Tabu,Karisma Kapoor
Snegithiye,2000,154,"Drama, Musical, Mystery",6.5,276,Priyadarshan,Jyotika,Sharbani Mukherji,Tabu
Sudhandhiram,2000,145,"Action, Crime, Drama",4,44,Raj Kapoor,Nassar,Prithviraj,Raghuvaran
Sultaan,2000,120,"Action, Drama",5.6,54,T.L.V. Prasad,Vikas Anand,Birbal,Mithun Chakraborty
Tapish,2000,144,Drama,6,20,Jayprakkash Shaw,Tara Deshpande,Ellora Patnaik,Parvin Dabas
Tarkieb,2000,156,"Mystery, Thriller",5,233,Esmayeel Shroff,Nana Patekar,Tabu,Shilpa Shetty Kundra
Tera Jadoo Chal Gayaa,2000,143,"Musical, Romance",3,560,A. Muthu,Abhishek Bachchan,Kirti Reddy,Sanjay Suri
The Prince of Light,2000,97,"Animation, Drama, Adventure",6.8,84,Y�g� Sak�,Bryan Cranston,Edie Mirman,Tom Wyner
The Revenge: Geeta Mera Naam,2000,108,Action,2.9,15,Dilip Gulati,Dharmendra,Kalyani Thakkar,Durgesh Nandini
To Fall in Love,2000,159,"Comedy, Drama, Musical",4.4,2099,K. Muralimohana Rao,Kashmira Shah,Salman Khan,Jackie Shroff
Vamsee,2000,145,Action,4.7,706,Gopal B.,Ali,Mahesh Babu,Tanikella Bharani
Zindagi,2000,118,Romance,2.8,8,Suraj Prakash,Vicky Bhalla,Gayatri,Deepak Jethi
Zindagi Zindabad,2000,140,Drama,5.7,7,Sumitra Bhave,Sunil Sukthankar,Mita Vashisht,Milind Gunaji
Aage Maut Peeche Maut,2001,78,Horror,3.1,7,A.T. Joy,Lekha Pande,Vimal Raj,Shakila
Aalavandhan,2001,177,"Action, Thriller",7.2,2192,Suresh Krishna,Kamal Haasan,Raveena Tandon,Manisha Koirala
Aamdani Atthanni Kharcha Rupaiya,2001,150,"Comedy, Drama, Family",4.8,1238,K. Raghavendra Rao,A.S. Ravindra Babu,Govinda,Juhi Chawla
Aashiq,2001,160,"Action, Drama, Romance",3.8,403,Indra Kumar,Bobby Deol,Karisma Kapoor,Rahul Dev
Adhipathi,2001,151,"Action, Drama",5.4,533,Ravi Raja,Nagarjuna Akkineni,Ali,Mohan Babu
Afsana Dilwalon Ka,2001,195,"Drama, Romance",3.6,1025,J. Om Prakash,Aashish Kaul,Juni,Rahul Roy
Ajnabee,2001,165,"Action, Crime, Drama",6.4,8164,Abbas Alibhai Burmawalla,Mastan Alibhai Burmawalla,Akshay Kumar,Bobby Deol
Aks,2001,184,"Action, Crime, Horror",5.8,1627,Rakeysh Omprakash Mehra,Amitabh Bachchan,Raveena Tandon,Manoj Bajpayee
Albela,2001,145,"Comedy, Drama, Romance",3.7,737,Deepak Sareen,Govinda,Aishwarya Rai Bachchan,Jackie Shroff
American Desi,2001,100,"Comedy, Drama, Romance",6.6,1585,Piyush Dinker Pandya,Deep Katdare,Ronobir Lahiri,Purva Bedi
Amma Nagamma,2001,110,"Drama, Fantasy, Thriller",5.6,7,C.H. Balaji Singh Babu,Dhamini,Kumar Govind,Prema
Arjun Devaa,2001,133,"Action, Crime, Musical",3.6,21,Imran Khan,Mithun Chakraborty,Puru Rajkumar,Rutika Singh
Ashoka the Great,2001,180,"Action, Biography, Drama",6.5,13502,Santosh Sivan,Shah Rukh Khan,Kareena Kapoor,Danny Denzongpa
Ayurveda: Art of Being,2001,102,Documentary,7.6,432,Pan Nalin,Nicolos Kostopoulos,Vaidya Narayan Murthy,Brahmanand Swamigal
Baaja,2001,79,Family,6.1,10,Apurba Kishore Bir,Ram Awana,Saroj Bhagwar,Roni Bhatt
Bas Itna Sa Khwaab Hai...,2001,169,"Drama, Romance, Thriller",3.7,586,Goldie Behl,Rani Mukerji,Abhishek Bachchan,Sushmita Sen
Bengal Tiger,2001,121,"Action, Crime",5.3,29,Adarsh Jain,Sandeep Bedi,Mithun Chakraborty,Roshini Jaffery
Bhagawat Ek Jung,2001,113,Action,4.6,18,Deepak Pawar,Mithun Chakraborty,Manvi Goswami,Mohan Joshi
Bhairav,2001,133,Action,4.6,29,T.L.V. Prasad,Hemant Birje,Mithun Chakraborty,Jack Gaud
Bhalevadivi Basu,2001,156,"Family, Comedy",4.6,35,P.A. Arun Prasad,Nandamuri Balakrishna,Anjala Zaveri,Shilpa Shetty Kundra
Bhooka Sher,2001,109,Action,5,23,Hemant Birje,Dharmendra,Shakti Kapoor,Sikander Khan
Bindiya Mange Bandook,2001,115,Action,3.9,8,Sanju K. Gupta,Joginder Shelly,Pinky Chinoy,Mohan Joshi
Bond of Love,2001,174,"Drama, Family",5.1,1584,Suneel Darshan,Amitabh Bachchan,Rakhee Gulzar,Akshay Kumar
Boond,2001,137,"Action, Crime, Drama",4.2,10,Inayat Mahshar,Navin Berry,Pankaj Berry,Birbal
Bub (Father),2001,114,Drama,7.6,17,Jyoti Sarup,K.K. Raina,Kuber Sarup,Virendra Razdan
Censor,2001,165,Drama,3.5,122,Dev Anand,Dev Anand,Hema Malini,Shammi Kapoor
Chandni Bar,2001,150,"Crime, Drama",7.6,2486,Madhur Bhandarkar,Tabu,Atul Kulkarni,Rajpal Yadav
Chhupa Rustam: A Musical Thriller,2001,127,"Drama, Musical, Romance",4.6,86,Aziz Sejawal,Sanjay Kapoor,Mamta Kulkarni,Manisha Koirala
Chori Chori Chupke Chupke,2001,160,"Comedy, Drama, Musical",5.4,4464,Abbas Alibhai Burmawalla,Mastan Alibhai Burmawalla,Salman Khan,Rani Mukerji
Dattak,2001,125,Drama,7.4,57,Gul Bahar Singh,Rajit Kapoor,Anjan Srivastav,A.K. Hangal
Deewaanapan,2001,153,"Action, Romance",4.6,418,Ashu Trikha,Arjun Rampal,Dia Mirza,Vinod Khanna
Dhill,2001,158,"Action, Drama",7,810,Dharani,Vikram,Laila,Ashish Vidyarthi
Dil Chahta Hai,2001,183,"Comedy, Drama, Romance",8.1,68138,Farhan Akhtar,Aamir Khan,Saif Ali Khan,Akshaye Khanna
Eduruleni Manishi,2001,138,"Comedy, Drama",4.5,126,Srinivasa Rao Jonnalagadda,J. Sreeniwas Rao,Nagarjuna Akkineni,Soundarya
Ehsaas: The Feeling,2001,116,"Drama, Romance",5.6,95,Mahesh Manjrekar,Sunil Shetty,Shabana Raza,Kirron Kher
Everybody Says I'm Fine!,2001,103,"Drama, Fantasy, Romance",5.9,323,Rahul Bose,Rehaan Engineer,Koel Purie,Rahul Bose
Gadar: Ek Prem Katha,2001,170,"Action, Drama, Romance",7.2,10264,Anil Sharma,Sunny Deol,Ameesha Patel,Amrish Puri
Grahan,2001,110,"Crime, Drama",5.1,85,Shashilal K. Nair,Jackie Shroff,Manisha Koirala,Anupama Verma
Hum Ho Gaye Aap Ke,2001,168,"Drama, Musical, Romance",4.2,399,Ahathian,Sunil Kumar Agrawal,Fardeen Khan,Reema Sen
Indian,2001,178,"Action, Crime, Drama",5.4,2213,N. Maharajan,Sunny Deol,Shilpa Shetty Kundra,Raj Babbar
Inteqam,2001,138,"Comedy, Crime",2.6,10,Aslam Azmi,Akshay Anand,Tinnu Anand,Pooja Dadwal
Ittefaq,2001,138,"Action, Comedy, Drama",4.5,80,Sanjay Khanna,Sunil Shetty,Mukul Dev,Pooja Batra
Jagira,2001,139,"Action, Crime, Drama",5.1,17,Kanti Shah,Ishrat Ali,Hemant Birje,Pinky Chinoy
Jodi No. 1,2001,140,"Comedy, Romance",5.8,2299,David Dhawan,Sanjay Dutt,Govinda,Twinkle Khanna
Kabhi Khushi Kabhie Gham...,2001,210,"Drama, Musical, Romance",7.4,46172,Karan Johar,Shah Rukh Khan,Kajol,Amitabh Bachchan
Kama Sundari,2001,130,Thriller,5.2,17,Balvinder Sandhu,Monica Castelino,Nagesh Bhonsle,Satyendra Kapoor
Kasoor,2001,151,"Drama, Mystery, Thriller",6,937,Vikram Bhatt,Divya Dutta,Sucheta Paushe,Lisa Ray
Kottai Mariamman,2001,140,Drama,3.8,20,Ramanarayanan,Devayani,Diamber,Karan
Kuch Khatti Kuch Meethi,2001,120,"Comedy, Drama, Romance",4.6,628,Rahul Rawail,Kajol,Rati Agnihotri,Rishi Kapoor
Kyo Kii... Main Jhuth Nahin Bolta,2001,131,"Action, Comedy, Drama",5.4,2023,David Dhawan,Govinda,Sushmita Sen,Rambha
Lagaan: Once Upon a Time in India,2001,224,"Drama, Musical, Sport",8.1,107234,Ashutosh Gowariker,Aamir Khan,Raghuvir Yadav,Gracy Singh
Lajja,2001,202,"Action, Crime, Drama",6.7,2534,Rajkumar Santoshi,Manisha Koirala,Jackie Shroff,Madhuri Dixit
Little John,2001,126,"Action, Fantasy, Musical",5.1,207,Singeetam Srinivasa Rao,Bharti Achrekar,Fathima Babu,Ash Chandler
Love Ke Liye Kuch Bhi Karega,2001,131,"Comedy, Crime, Romance",6,1567,Eeshwar Nivas,Saif Ali Khan,Fardeen Khan,Aftab Shivdasani
Majunu,2001,172,"Action, Drama, Romance",5.2,124,Ravichandran,Prashanth,Rinke Khanna,Raghuvaran
Master,2001,152,Action,4.8,24,Suneil Anand,Suneil Anand,Ting Leung,Sadashiv Amrapurkar
Maya,2001,105,Drama,7,278,Digvijay Singh,Anant Nag,Mita Vashisht,Nitya Shetty
Meri Pyaari Bahania Banegi Dulhania,2001,131,Family,5,10,Jayant Gilatar,Sulabha Arya,Mithun Chakraborty,Shahid Khan
Mitti,2001,155,"Action, Drama",5.3,27,Iqbal Durrani,Ferdous Ahmed,Sharbani Mukherji,Rani Rajkumar
Moksha: Salvation,2001,150,"Crime, Drama, Thriller",6.2,390,Ashok Mehta,Arjun Rampal,Manisha Koirala,Kalpana Pandit
Monsoon Wedding,2001,114,"Comedy, Drama, Romance",7.4,23663,Mira Nair,Naseeruddin Shah,Lillete Dubey,Shefali Shah
Mujhe Kucch Kehna Hai,2001,135,"Drama, Romance",5,1135,Satish Kaushik,Tusshar Kapoor,Kareena Kapoor,Amrish Puri
Nayak: The Real Hero,2001,187,"Action, Drama, Thriller",7.8,14939,S. Shankar,Anil Kapoor,Rani Mukerji,Amrish Puri
One 2 Ka 4,2001,169,"Action, Comedy, Crime",5.4,4870,Shashilal K. Nair,Shah Rukh Khan,Jackie Shroff,Juhi Chawla
Paagalpan,2001,146,Romance,6.5,40,Joy Augustine,Karann Nathh,Aarthi Agarwal,Dr. Vilas Ujawane
Pyaar Tune Kya Kiya...,2001,123,"Drama, Romance, Thriller",5.7,807,Rajat Mukherjee,Fardeen Khan,Ravi Baswani,Kannu Gill
Pyaar Zindagi Hai,2001,157,"Drama, Romance, Thriller",6.5,44,Vijay Sadanah,Rajesh Khanna,Vikas Kalantri,Ashima Bhalla
Qatil Chudail,2001,96,Horror,5.2,5,Kanti Shah,Anil Nagrath,Jhony Nirmal,Amit Pachori
Qatil Haseeno Ka,2001,113,Crime,3.1,7,K. Shivram,Arya,Rana Jung Bahadur,Aparna Bera
Rahul,2001,151,Drama,5.4,249,Prakash Jha,Shabana Raza,Yash Gawli,Rajeshwari Sachdev
Rehnaa Hai Terre Dil Mein,2001,160,"Musical, Romance",7.6,7713,Gautham Vasudev Menon,Madhavan,Saif Ali Khan,Dia Mirza
Revenge of the Tigress,2001,105,Action,8.5,15,Kanti Shah,Sapna Sappu,Amit Pachori,Junior Johnny Lever
Saugandh Geeta Ki,2001,97,Action,3.8,6,William Hunt,Ishrat Ali,Hemant Birje,Pinky Chinoy
Shirdi Sai Baba,2001,150,"Drama, Mystery",4.8,178,Deepak Balraj Vij,Anand Balraj,Sudhir Dalvi,Dharmendra
Style,2001,157,"Comedy, Musical, Mystery",6.7,1859,N. Chandra,Sharman Joshi,Sahil Khan,Riya Sen
Tera Mera Saath Rahen,2001,148,Drama,4.9,311,Mahesh Manjrekar,Ajay Devgn,Sonali Bendre,Namrata Shirodkar
Tere Liye,2001,138,"Drama, Family, Musical",5.3,52,Sanjay Gadhvi,Imran Ahmed Khan,Sonali Khare,Neelu Kohli
Thavasi,2001,165,"Action, Comedy, Drama",4.8,100,Udayshankar,Vijayakanth,Soundarya,Vadivelu
The Mystic Masseur,2001,117,"Comedy, Drama",5.8,439,Ismail Merchant,Om Puri,James Fox,Aasif Mandvi
The Warrior,2001,86,"Adventure, Drama",6.7,2541,Asif Kapadia,Irrfan Khan,Puru Chibber,Aino Annuddin
Tum Bin...: Love Will Find a Way,2001,158,"Drama, Romance",7.5,3259,Anubhav Sinha,Priyanshu Chatterjee,Himanshu Malik,Sandali Sinha
Vatsyayana Kamasutra,2001,158,Thriller,5.1,9,Sanjay Khandelwal,Kumaar Aadarsh,Sudesh Berry,Diveyaa Dwivedi
Veer Savarkar,2001,165,"Biography, Drama",6.8,115,Ved Rahi,Shailendra Gaur,Pankaj Berry,Tom Alter
Yaadein...,2001,171,"Musical, Drama, Romance",4.4,3316,Subhash Ghai,Hrithik Roshan,Jackie Shroff,Kareena Kapoor
Yamini,2001,120,"Crime, Drama",3.2,11,U.C. Roshan,Meera,Prathapachandran,Ragini
Yeh Hai Pyar Ka Mausam,2001,108,Crime,3.3,11,Rajesh Bakshi,Rajat Bakshi,Rajesh Bakshi,Prem Chabra
Yeh Raaste Hain Pyaar Ke,2001,149,"Action, Drama, Romance",4.1,685,Deepak S. Shivdasani,Ajay Devgn,Madhuri Dixit,Preity Zinta
Yeh Zindagi Ka Safar,2001,146,"Drama, Romance",3,146,Tanuja Chandra,Ameesha Patel,Jimmy Sheirgill,Nafisa Ali
"Your Home, My Home",2001,175,"Comedy, Drama",5.7,803,Priyadarshan,Sunil Shetty,Mahima Chaudhry,Paresh Rawal
Zubeidaa,2001,153,"Biography, Drama, History",6.2,1496,Shyam Benegal,Karisma Kapoor,Rekha,Manoj Bajpayee
16-Dec,2002,158,"Action, Thriller",6.9,1235,Mani Shankar,Milind Soman,Danny Denzongpa,Gulshan Grover
23rd March 1931: Shaheed,2002,188,"Biography, Drama, History",5.1,642,Guddu Dhanoa,Bobby Deol,Sunny Deol,Amrita Singh
Aankhen,2002,165,"Crime, Drama, Thriller",7.4,12574,Vipul Amrutlal Shah,Amitabh Bachchan,Akshay Kumar,Sushmita Sen
Aap Mujhe Achche Lagne Lage,2002,180,"Action, Drama, Romance",3.1,2366,Vikram Bhatt,Hrithik Roshan,Ameesha Patel,Kiran Kumar
Agnivarsha: The Fire and the Rain,2002,126,"Drama, Fantasy, Romance",4.6,361,Arjun Sajnani,Jackie Shroff,Kumar Iyengar,Raveena Tandon
Akhiyon Se Goli Maare,2002,146,"Comedy, Romance",5.1,881,Harmesh Malhotra,Govinda,Raveena Tandon,Kader Khan
Ansh: The Deadly Part,2002,180,"Crime, Drama, Thriller",6.3,51,Rajan Johri,Om Puri,Ashutosh Rana,Abbas
Awara Paagal Deewana,2002,158,"Action, Comedy, Crime",6.2,7775,Vikram Bhatt,Akshay Kumar,Sunil Shetty,Aftab Shivdasani
Badhaai Ho Badhaai,2002,155,"Comedy, Drama, Musical",4.5,673,Satish Kaushik,Anil Kapoor,Rana Jung Bahadur,Anang Desai
Bharat Bhagya Vidhata,2002,160,"Action, Adventure, Thriller",5.7,13,Ashok Tyagi,Chandrachur Singh,Flora Saini,Shatrughan Sinha
Border Kashmir,2002,107,Action,2.9,7,Teerat Singh,Dharmendra,Dinesh Hingoo,Anjali Kholapure
Chalo Ishq Ladaaye,2002,140,"Action, Comedy, Romance",4.4,522,Aziz Sejawal,Govinda,Kader Khan,Rani Mukerji
Chandu,2002,136,Romance,6.9,70,P.A. Arun Prasad,Sudeep,Sonia Agarwal,Srinath
Chor Machaaye Shor,2002,145,"Action, Comedy, Crime",4.2,1124,David Dhawan,Bobby Deol,Om Puri,Paresh Rawal
Company,2002,142,"Action, Crime, Drama",7.9,14795,Ram Gopal Varma,Ajay Devgn,Mohanlal,Manisha Koirala
Darwaza,2002,84,Horror,4.3,50,Kanti Shah,Arun Mathur,Anil Nagrath,Amit Pachori
Deewangee,2002,169,"Crime, Drama, Mystery",6.6,2620,Anees Bazmee,Ajay Devgn,Akshaye Khanna,Urmila Matondkar
Desh,2002,130,Drama,4.9,50,Raja Sen,Jaya Bachchan,Sabyasachi Chakrabarty,Subhendu Chatterjee
Devdas,2002,185,"Drama, Musical, Romance",7.6,39573,Sanjay Leela Bhansali,Shah Rukh Khan,Aishwarya Rai Bachchan,Madhuri Dixit
Devi Ahilya Bai,2002,146,"Biography, Drama, History",6.6,17,Jayoo,Natiker,Sadashiv Amrapurkar,Shabana Azmi
Dhumm,2002,139,"Action, Drama, Family",6.9,58,M.S. Ramesh,Sudeep,Rakshitha,Srinath
Dil Hai Tumhaara,2002,185,"Drama, Romance",5.3,1720,Kundan Shah,Arjun Rampal,Preity Zinta,Mahima Chaudhry
Dil Vil Pyar Vyar,2002,150,"Drama, Musical, Romance",5.3,454,Ananth Narayan Mahadevan,Madhavan,Jimmy Sheirgill,Sanjay Suri
Duplicate Sholay,2002,147,Comedy,6.5,50,Kanti Shah,Sapna Sappu,Amit Pachori,Dimple
Durga,2002,116,Drama,4.6,17,J.D. Chakravarthi,J.D. Chakravarthi,Snehal Dabi,Jayaprakash
Ek Chhotisi Love Story,2002,122,Drama,2.9,554,Shashilal K. Nair,Saroj Bhargava,Manisha Koirala,Jesse Randhawa
Encounter: The Killing,2002,150,"Crime, Drama",6.1,147,Ajay Phansekar,Naseeruddin Shah,Dilip Prabhavalkar,Tara Deshpande
Filhaal...,2002,151,"Drama, Romance",5.5,243,Meghna Gulzar,Tabu,Sushmita Sen,Sanjay Suri
Gautam Govinda,2002,119,Action,2.7,11,Gautam Verma,Ishrat Ali,Mithun Chakraborty,Pinky Chinoy
Gemini,2002,150,"Action, Comedy, Crime",6.1,910,Saran,Vikram,Kiran Rathod,Kalabhavan Mani
Gunaah,2002,135,"Crime, Drama, Thriller",3.3,356,Amol Shetge,Bipasha Basu,Dino Morea,Ashutosh Rana
Haan Maine Bhi Pyaar Kiya,2002,174,"Drama, Musical, Romance",3.7,1277,Dharmesh Darshan,Akshay Kumar,Karisma Kapoor,Abhishek Bachchan
Haathi Ka Anda,2002,75,Adventure,6.2,11,Arun Khopkar,Tushar Dalvi,Parzaan Dastur,Amin Gazi
Hathyar: Face to Face with Reality,2002,140,"Action, Crime, Drama",5.6,625,Mahesh Manjrekar,Sanjay Dutt,Shilpa Shetty Kundra,Sharad S. Kapoor
Hindustani Sipahi,2002,128,Action,5.3,7,Pasanta Bal,Victor Banerjee,Sabyasachi Chakrabarty,Mithun Chakraborty
Hum Kisi Se Kum Nahin,2002,161,"Action, Comedy, Drama",4.4,1351,David Dhawan,Amitabh Bachchan,Sanjay Dutt,Asad Aleem
Hum Pyar Tumhi Se Kar Baithe,2002,138,"Musical, Romance",5.7,46,Mohan Singh Rathor,Jugal Hansraj,Tina Rana,Sachin Khedekar
Hum Tumhare Hain Sanam,2002,174,"Drama, Romance",5.4,6610,K.S. Adiyaman,Shah Rukh Khan,Madhuri Dixit,Salman Khan
Humraaz,2002,173,"Action, Musical, Romance",6.4,3207,Abbas Alibhai Burmawalla,Mastan Alibhai Burmawalla,Bobby Deol,Akshaye Khanna
Jaani Dushman: Ek Anokhi Kahani,2002,170,"Action, Fantasy, Thriller",2.8,3240,Rajkumar Kohli,Sunny Deol,Arman Kohli,Manisha Koirala
Jeena Sirf Merre Liye,2002,137,"Comedy, Romance",4.4,728,Talat Jani,Kareena Kapoor,Tusshar Kapoor,Mallika Sherawat
Kaaboo,2002,135,Action,6.5,29,Vicky Ranawat,Rajat Bedi,Sudesh Berry,Abhay Bhargava
